1:00 AM,5100,360,60
1:05 AM,4416,384,96
1:10 AM,2911,639,71
1:15 AM,744,144,24
1:20 AM,7448,0,98
1:25 AM,6486,207,69
1:30 AM,3355,122,61
1:35 AM,2392,184,46
1:40 AM,1633,568,71
1:45 AM,14,49,7
1:50 AM,3159,324,81
1:55 AM,4212,567,81
2:00 AM,276,230,46
2:05 AM,207,36,9
2:10 AM,1862,38,38
2:15 AM,3069,0,99
2:20 AM,8648,828,92
2:25 AM,830,0,10
2:30 AM,1235,260,65
2:35 AM,1738,395,79
2:40 AM,2112,224,32
2:45 AM,5304,476,68
2:50 AM,984,24,12
2:55 AM,814,0,11
3:00 AM,493,68,17
3:05 AM,5644,0,68
3:10 AM,2156,245,49
3:15 AM,5460,210,70
3:20 AM,413,531,59
3:25 AM,1470,60,15
3:30 AM,1840,368,92
3:35 AM,5254,355,71
3:40 AM,735,196,49
3:45 AM,736,56,8
3:50 AM,188,4,2
3:55 AM,2365,43,43
4:00 AM,2640,88,88
4:05 AM,2790,540,90
4:10 AM,711,79,79
4:15 AM,1064,114,38
4:20 AM,2860,275,55
4:25 AM,6708,468,78
4:30 AM,1239,189,21
4:35 AM,1218,783,87
4:40 AM,5694,73,73
4:45 AM,318,18,6
4:50 AM,1144,176,44
4:55 AM,1116,90,18
5:00 AM,140,315,35
5:05 AM,996,0,12
5:10 AM,1961,265,53
5:15 AM,1700,140,20
5:20 AM,4526,438,73
5:25 AM,1904,56,56
5:30 AM,378,72,18
5:35 AM,7448,0,76
5:40 AM,1241,146,73
5:45 AM,6510,280,70
5:50 AM,1595,275,55
5:55 AM,1660,80,20
6:00 AM,189,56,7
6:05 AM,8360,95,95
6:10 AM,4144,148,74
6:15 AM,4420,680,85
6:20 AM,1003,68,17
6:25 AM,3515,37,37
6:30 AM,536,134,67
6:35 AM,484,0,22
6:40 AM,1440,180,20
6:45 AM,2813,87,29
6:50 AM,3038,98,49
6:55 AM,1083,285,57
7:00 AM,2300,150,25
7:05 AM,2156,168,28
7:10 AM,1395,270,45
7:15 AM,4050,270,54
7:20 AM,5330,390,65
7:25 AM,1363,376,47
7:30 AM,1932,252,84
7:35 AM,2619,776,97
7:40 AM,1938,285,57
7:45 AM,6528,384,96
7:50 AM,1541,46,23
7:55 AM,0,159,53
8:00 AM,1452,44,44
8:05 AM,2610,240,30
8:10 AM,3003,39,39
8:15 AM,84,108,12
8:20 AM,1340,160,20
8:25 AM,378,72,9
8:30 AM,4446,312,78
8:35 AM,2304,768,96
8:40 AM,2133,216,27
8:45 AM,378,270,54
8:50 AM,504,168,21
8:55 AM,4880,640,80
9:00 AM,3828,174,58
9:05 AM,672,0,16
9:10 AM,7104,592,74
9:15 AM,640,128,16
9:20 AM,4653,282,47
9:25 AM,2546,469,67
9:30 AM,5950,280,70
9:35 AM,1113,106,53
9:40 AM,4214,147,49
9:45 AM,800,0,50
9:50 AM,2852,0,46
9:55 AM,1360,40,20
10:00 AM,148,0,2
10:05 AM,6192,172,86
10:10 AM,1680,120,20
10:15 AM,14,0,2
10:20 AM,35,40,5
10:25 AM,2112,240,48
10:30 AM,696,72,8
10:35 AM,1802,53,53
10:40 AM,852,36,12
10:45 AM,3422,232,58
10:50 AM,682,62,31
10:55 AM,3066,0,42
11:00 AM,6320,560,80
11:05 AM,2912,192,32
11:10 AM,170,119,17
11:15 AM,192,144,48
11:20 AM,1320,40,40
11:25 AM,1290,135,15
11:30 AM,7161,77,77
11:35 AM,1164,582,97
11:40 AM,2325,525,75
11:45 AM,4347,252,63
11:50 AM,5700,675,75
11:55 AM,1003,51,17
1:00 PM,4940,228,76
1:05 PM,5376,168,56
1:10 PM,816,136,34
1:15 PM,861,328,41
1:20 PM,5313,138,69
1:25 PM,1674,36,18
1:30 PM,2700,360,60
1:35 PM,6715,474,79
1:40 PM,928,58,58
1:45 PM,1060,60,20
1:50 PM,106,10,2
1:55 PM,1829,236,59
2:00 PM,4018,196,49
2:05 PM,4480,420,70
2:10 PM,924,176,44
2:15 PM,225,0,25
2:20 PM,2881,402,67
2:25 PM,2619,582,97
2:30 PM,1148,0,41
2:35 PM,440,0,20
2:40 PM,5576,328,82
2:45 PM,4508,0,98
2:50 PM,3886,522,58
2:55 PM,1250,25,25
3:00 PM,1755,27,27
3:05 PM,1400,0,20
3:10 PM,90,6,1
3:15 PM,16,1,1
3:20 PM,5915,65,65
3:25 PM,5609,395,79
3:30 PM,6555,0,95
3:35 PM,270,360,45
3:40 PM,3290,235,47
3:45 PM,2997,37,37
3:50 PM,330,33,33
3:55 PM,1568,504,56
4:00 PM,697,119,17
4:05 PM,342,42,6
4:10 PM,8134,415,83
4:15 PM,1566,0,29
4:20 PM,980,180,20
4:25 PM,217,56,7
4:30 PM,9506,392,98
4:35 PM,1368,72,18
4:40 PM,3150,375,75
4:45 PM,1056,96,12
4:50 PM,3540,472,59
4:55 PM,361,19,19
5:00 PM,2610,609,87
5:05 PM,1032,172,43
5:10 PM,7084,231,77
5:15 PM,2444,364,52
5:20 PM,2925,525,75
5:25 PM,2552,0,88
5:30 PM,6432,0,96
5:35 PM,3200,0,64
5:40 PM,600,192,24
5:45 PM,5194,424,53
5:50 PM,2046,279,93
5:55 PM,980,140,20
6:00 PM,32,48,8
6:05 PM,1961,148,37
6:10 PM,2709,252,63
6:15 PM,352,110,22
6:20 PM,1750,630,70
6:25 PM,2623,0,61
6:30 PM,5508,68,68
6:35 PM,816,0,68
6:40 PM,1376,48,16
6:45 PM,3496,38,38
6:50 PM,4048,552,92
6:55 PM,2337,0,41
7:00 PM,1802,477,53
7:05 PM,759,198,33
7:10 PM,88,56,8
7:15 PM,3234,588,98
7:20 PM,1862,49,49
7:25 PM,3304,118,59
7:30 PM,1092,78,39
7:35 PM,56,0,4
7:40 PM,119,136,17
7:45 PM,1340,335,67
7:50 PM,1419,129,43
7:55 PM,722,304,38
8:00 PM,192,10,2
8:05 PM,2511,243,27
8:10 PM,66,198,33
8:15 PM,6776,693,77
8:20 PM,924,33,33
8:25 PM,7938,81,81
8:30 PM,5376,420,84
8:35 PM,2450,294,49
8:40 PM,4183,0,89
8:45 PM,588,24,12
8:50 PM,468,36,6
8:55 PM,960,400,80
9:00 PM,1892,132,44
9:05 PM,7007,154,77
9:10 PM,405,81,9
9:15 PM,81,9,3
9:20 PM,885,30,15
9:25 PM,24,48,6
9:30 PM,96,0,1
9:35 PM,0,0,0
9:40 PM,3230,102,34
9:45 PM,3498,0,66
9:50 PM,1232,64,16
9:55 PM,5904,574,82
10:00 PM,72,4,2
10:05 PM,2976,217,31
10:10 PM,1020,272,34
10:15 PM,799,235,47
10:20 PM,400,100,25
10:25 PM,1162,0,83
10:30 PM,299,13,13
10:35 PM,176,20,4
10:40 PM,4272,89,89
10:45 PM,1075,215,43
10:50 PM,7161,558,93
10:55 PM,4988,688,86
11:00 PM,2886,148,74
11:05 PM,2470,520,65
11:10 PM,2838,387,43
11:15 PM,6270,0,66
11:20 PM,3906,168,42
11:25 PM,6825,364,91
11:30 PM,4361,245,49
11:35 PM,5022,270,54
11:40 PM,1740,160,20
11:45 PM,108,162,18
11:50 PM,4347,567,63
11:55 PM,315,63,9
